,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
-8.51049E+18,How a Chatbot Helped This Vinyl Records Startup Make $1 Million in 8 Months,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,The gig economy as a driver of innovation,How to approach machine learning as a non-technical person,The Real Product Market Fit,Conversational Banking; from branches to bots. - Chatbots Magazine
-8.50861E+18,Revista PROGRAMAR nº 53 - Agosto de 2016,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Put a ring on it: three smart rings with plenty of beauty and brains,Burger King aceita pedidos via mensagens no Facebook - Startupi
-8.4979E+18,Where accountability really matters,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Introducing New Relic Infrastructure,Don Tapscott: How the blockchain is changing money and business,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Dasa multiplica lucro em 6 vezes no terceiro trimestre
-8.48071E+18,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Introducing Cloud Spanner: a global database service for mission-critical applications,Para inovar é preciso mais do que boas ideias - Startupi,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Introducing Google Cloud Shell's new code editor,Apple e Google querem que você pague por assinatura em apps
-8.4671E+18,Creating Your Code Review Checklist - DaedTech,On DRY and the cost of wrongful abstractions,The Importance of Code Reviews,bliki: StranglerApplication,Angular 2 versus React: There Will Be Blood - Free Code Camp,Automate Docker with the Remote API and Ruby
-8.42776E+18,The gig economy as a driver of innovation,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,The Real Product Market Fit,How to approach machine learning as a non-technical person,How to Think Exponentially and Better Predict the Future,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow"
-8.41211E+18,The best-and worst-places to be a working woman,Inception (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Accept questions from your audience when presenting in Google Slides,"""We only hire the best"" - Signal v. Noise",Shutter Island (2010)
-8.40466E+18,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more","Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year
-8.39259E+18,Why Introverts Are Better at Sales Than Extroverts,You can now use MyCokeRewards with Apple Pay (and score a free Coke),You won't recognize the new world of digital payments without this report,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Unilever: The biggest digital start-up in the world?,CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution
-8.38123E+18,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains,Burger King aceita pedidos via mensagens no Facebook - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
-8.37763E+18,Bad Writing Is Destroying Your Company's Productivity,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Building a high-throughput data science machine,Text summarization with TensorFlow,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business
-8.37074E+18,Mobile banking conquista o coração dos brasileiros,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Nubank começa a testar seu programa de fidelidade - Empresas Tech,Blockchain Will Be Used By 15% of Big Banks By 2017,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
-8.36961E+18,Nintendo has doubled in value since Pokémon Go's release,Don't Waste Your Time on Networking Events,"Deep Learning for Chatbots, Part 1 - Introduction",NOW NEW NEXT: How growth champions create new value,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,Woolworths
-8.34979E+18,How Mature is Your Organization when it Comes to UX?,The Real Product Market Fit,Críticas de design: dizendo as coisas que precisam ser ditas,#FinTech is all about human-centred design - Chris Skinner's blog,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,35 Innovative and Inspirational Website Designs in Banking
-8.34037E+18,big data = real time,The omnichannel customer experience is poised to take off in regulated industries,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Framework] Lean IT Governance,The future is the trust economy,10 principles of business transformation
-8.31463E+18,Hacked Website Report - 2016/Q3,Drupal 8 Front-End Architecture,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,6 New Tech Gadgets That Will Simplify Your Life in 2017,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
-8.31297E+18,How AWS came to be,America's allies are preparing for a bumpy ride,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Five things to include in your digital transformation playbook,The Difference Between Sympathy And Empathy - Expanded Consciousness,Walmart compra startup para brigar com Amazon | EXAME.com
-8.2874E+18,Containers are not VMs,"Open Source Won. So, Now What?",Introducing Style Detection for Google Cloud Vision API,Dries Buytaert: Advancing Drupal's web services,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,AWS Certified Solutions Architect Professional – Study Guide – Domain 3.0: Deployment Management (10%)
-8.28236E+18,Cross-channel user experiences with Drupal (awesome video demo!),Introducing Google Container Engine (GKE) node pools,"Big data, big differentiators: this week on Google Cloud Platform",GE Digital snags ServiceMax for $915 million,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better,Nubank pode fechar as portas se BC confirmar mudança amanhã
-8.27951E+18,"Bots, Messenger and the future of customer service","Google I/O: Expect A.I., virtual reality",Up your app's sharing game with DirectShare - Google Developers,Why Steve Jobs Was Proud to Steal Ideas,What SWAG will Google I/O 2016 attendees take home?,Google's official Project Wing logo revealed
-8.27863E+18,3Dprintler lets you order a 3D print via chatbot,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Conversational Banking; from branches to bots. - Chatbots Magazine,"Chatbots Are Your Newest, Dumbest Co-Workers","Amazon looking to buy Capital One? "" Banking Technology",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
-8.27838E+18,Aussie Uses Arduino Chips To Roboticize a Ford Focus,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,"Parece árvore, mas é uma turbina eólica",Vídeos de testes unitários em sistemas embarcados - Embarcados,How Mobile Health Apps and Wearables Could Actually Make People Sicker
-8.27792E+18,GitHub on BigQuery: Analyze all the open source code,What's the Version of my Deployed Application? - DZone DevOps,An Overly Thorough Guide To Underused Android Libraries,Why 2016 is shaping up to be the Year of the Bot,UE não dá sossego ao Google. Novo alvo? O AdSense,Android Studio 2.0 | Android Developers Blog
-8.25853E+18,Vision API - Image Content Analysis,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",Machine Learning is Fun! Part 2,Machine Learning is Fun!,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Labelling automated builds on Docker Hub - Microscaling Systems
-8.25758E+18,Setting and Calculating a Web Performance Budget,IBM Watson e a revolução pela inteligência artificial | Udacity,Novidades do CDI 2.0,Intel's internal IoT platform for real-time enterprise analytics,The Joel Test: 12 Steps to Better Code,3M e o perfil intraempreendedor | Endeavor Brasil
-8.25422E+18,Dicas para aumentar produtividade: 14 dicas incríveis.,How Green Was My Valley (1941),"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",How We Lost 47% of Our Users After a Redesign | Icons8,Apple Releases First Preview of Swift 3.0 for Developers,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-8.24814E+18,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Coder | Drupal.org,Suzana Herculano-Houzel deixa o Brasil e expõe problemas profundos da ciência no país,Cross-channel user experiences with Drupal
-8.24566E+18,O machismo também mora nos detalhes - Think Olga,Sete Reinos,The 'impossible' is now a reality,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,Branding é problema seu. E meu.,What exactly is a design culture? 
-8.244E+18,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,3M e o perfil intraempreendedor | Endeavor Brasil,Kickstarter 3D printer will print circuit boards as part of your designs
-8.24349E+18,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Goodbye accountants! Startup builds AI to automate all your accounting,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Apple and Google Are Teaming Up to Kill Robocalls Forever,American Express ... and the Book of Mormon - Chris Skinner's blog,Itaú é pioneiro do blockchain
-8.22257E+18,What Millennials Want from a New Job,"Three cultures, three continents and three lessons on leadership",Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?
-8.2088E+18,Ray Kurzweil: The world isn't getting worse - our information is getting better,So you want to sell to banks?,How to Get a Job at Google,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Indian outsourcing specialists must reboot their strategies,"contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object"
-8.20482E+18,"curso de branding, diferenciação e estratégia de marca",Managing Machines at Spotify,The Pulse of a City - Uber Engineering Blog,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery",Séries com lições sobre empreendedorismo: As 7 melhores!,Million Song Dataset | scaling MIR research
